--- scanner 0 ---
-254,619,-733
-486,-729,544
807,441,685
-611,-859,516
-280,628,-633
-654,-760,550
782,-651,265
-779,702,594
792,439,689
858,-686,356
857,734,-711
405,-383,-473
-814,-443,-779
-5,56,-110
833,420,502
512,-465,-442
-790,-313,-826
-742,834,501
879,681,-656
115,-50,16
-305,681,-634
806,695,-591
-751,896,637
506,-384,-370
-672,-407,-828
812,-724,242

--- scanner 1 ---
-385,-707,644
547,569,-466
-537,541,-637
-496,708,-577
539,780,875
-673,-647,-522
467,-678,445
452,-748,373
-522,577,-514
801,-707,-465
561,634,-393
504,818,809
-381,492,301
803,-711,-480
-603,-570,-512
-486,561,299
87,57,48
-415,-710,785
-509,-691,660
-638,-720,-452
384,744,768
-64,-19,-42
508,689,-415
-400,745,313
454,-741,583
822,-524,-439

--- scanner 2 ---
362,-684,-471
-654,-602,-819
-883,736,292
673,614,-903
576,-259,509
320,927,301
517,898,234
-183,158,-129
414,801,255
-927,818,457
682,710,-820
-733,-696,-707
-813,709,453
-635,544,-442
780,-284,577
-905,-283,537
-132,26,16
-18,11,-157
639,-256,636
-940,-251,580
371,-532,-552
-864,-282,641
-567,690,-435
665,551,-745
-743,-709,-809
379,-534,-558
-687,634,-391

--- scanner 3 ---
387,-333,-811
794,382,-470
-350,-484,733
-526,655,459
494,-302,-729
714,453,692
-504,684,-465
-672,690,-434
-629,656,-335
764,405,-543
-808,-686,-881
-632,687,490
840,496,-508
-832,-639,-751
-436,-501,702
595,390,657
594,-765,459
488,-230,-810
561,-740,480
632,562,616
-690,-688,-787
98,26,-130
-609,690,617
4,162,47
486,-757,537
-458,-625,736

--- scanner 4 ---
726,719,-563
445,-551,451
3,11,32
765,689,513
640,-943,-584
830,751,617
83,-88,-92
-760,507,688
-388,331,-324
-684,466,745
879,770,489
-456,254,-360
447,-433,357
-328,-495,-804
639,-918,-637
709,741,-731
494,-409,487
-494,-547,-759
742,652,-774
-618,486,579
-535,-545,-828
-778,-708,376
-371,254,-342
540,-969,-575
-794,-660,444
-596,-720,404

--- scanner 5 ---
-450,529,-435
-343,449,-368
-411,-365,-818
-821,-676,432
-682,868,691
-743,892,544
798,-426,478
-803,915,709
471,-589,-721
-418,-394,-827
-712,-538,380
310,902,-680
550,706,500
755,-477,564
-462,436,-346
-473,-328,-822
366,745,-703
727,-384,456
599,631,543
305,741,-681
534,-692,-692
-737,-650,448
56,50,-63
-92,-33,36
593,-523,-749
634,807,576

--- scanner 6 ---
571,-840,417
-355,312,-834
-575,-725,-402
-636,-578,-378
-559,-778,741
706,-577,-639
554,-818,585
-630,373,296
657,-534,-564
-523,-819,815
640,844,564
473,669,-525
-494,382,358
412,647,-529
-343,401,-741
538,-751,374
-587,345,490
-724,-812,788
24,-96,43
740,870,573
741,-610,-463
641,819,511
417,646,-368
-696,-743,-355
143,19,-129
-236,334,-821

--- scanner 7 ---
692,674,-596
-796,518,391
524,705,-602
89,-168,58
-734,414,456
-697,-873,479
-815,390,342
-765,-432,-582
-764,-662,495
-412,591,-487
-302,557,-519
399,-757,-646
-786,-830,512
-363,755,-539
-5,-11,-24
873,-736,582
898,-683,581
567,804,-568
-758,-459,-783
-724,-506,-618
427,-951,-689
924,-674,681
364,388,727
506,352,776
388,258,774
436,-889,-553

--- scanner 8 ---
-483,-819,348
-357,-772,407
329,662,-347
471,601,-345
684,671,830
-459,729,-734
674,-494,738
633,-425,740
-403,424,565
-881,-672,-682
840,-449,790
-754,-790,-686
-384,465,537
1,-2,109
-728,-720,-588
580,-516,-549
853,653,801
33,-143,-25
551,-452,-463
777,653,839
501,587,-360
-443,510,-695
-494,-834,463
-443,598,575
-392,594,-746
541,-569,-453

--- scanner 9 ---
-269,713,626
-549,315,-507
712,346,-755
166,48,87
810,-793,-445
551,-630,856
441,487,574
-420,-393,-717
830,-728,-450
-399,-519,417
790,338,-647
-393,-578,-656
-319,-596,413
-517,454,-393
769,363,-680
-257,696,585
-338,-508,453
481,435,650
451,481,620
105,-105,-33
-599,349,-486
543,-680,625
-268,832,714
586,-678,698
732,-734,-311
-401,-640,-743

--- scanner 10 ---
-562,-785,664
67,-3,-4
-559,849,300
-740,824,-844
732,789,-674
795,-407,-542
-500,888,301
865,-668,798
584,553,281
1,121,-155
-374,-391,-514
-712,788,-857
713,763,-427
734,-371,-553
864,-580,679
-355,781,303
534,532,315
616,439,420
-813,751,-938
-536,-804,774
876,-539,662
740,702,-612
814,-367,-630
-425,-268,-633
-350,-269,-596
-561,-811,509

--- scanner 11 ---
174,-15,-94
-287,-483,418
-365,528,547
-292,-538,352
802,434,-674
112,-89,93
-411,301,-721
-422,469,716
804,-713,-593
-679,-515,-505
-393,406,613
-296,-476,389
810,334,686
794,-790,-523
771,-987,759
956,226,694
875,-940,763
864,-863,-558
-746,-408,-425
834,238,702
679,398,-659
739,565,-700
727,-885,760
-768,-527,-412
-434,245,-878
-433,240,-717

--- scanner 12 ---
309,-697,759
-124,90,-29
-454,627,471
589,-753,-296
747,598,928
650,-758,-524
-445,491,409
-384,766,-721
-417,534,603
653,546,-289
-846,-553,-646
-524,-353,418
35,-44,112
671,425,-242
-892,-564,-799
-860,-602,-586
-473,778,-628
411,-729,785
724,-792,-411
-491,-406,555
706,562,854
440,-677,729
506,485,-265
740,397,901
-539,-436,521
-406,885,-708

--- scanner 13 ---
883,-434,-802
-633,721,-335
598,-683,406
-311,576,666
480,-659,504
-490,-681,527
628,534,777
-346,653,537
-410,-734,-635
789,-491,-825
644,482,-707
729,-438,-795
-643,771,-432
571,484,-664
147,-65,-35
613,469,672
-550,-666,679
-487,-655,-542
16,0,114
-693,687,-281
510,-745,363
-437,-673,550
-345,563,745
688,514,655
-514,-739,-636
413,532,-699

--- scanner 14 ---
815,593,506
490,-765,493
-739,-898,-828
-752,-920,-709
-497,600,625
-830,-412,621
-571,652,-523
-641,642,-446
387,-780,410
572,-887,-477
835,684,-382
-677,-458,610
440,-850,-570
-659,-831,-721
-378,640,611
-400,630,566
-606,712,-373
854,725,-569
40,-82,145
524,-813,463
855,598,636
833,699,-386
378,-859,-434
804,517,564
-617,-444,659

--- scanner 15 ---
658,-585,-536
-278,682,382
56,-5,-82
516,-608,-461
803,504,406
520,-578,-410
885,773,-453
-628,-753,582
977,821,-570
-484,720,-679
-341,707,-731
539,-446,699
-370,-382,-725
573,-398,729
-781,-799,571
777,402,438
-372,-602,-801
-425,-546,-750
-568,-767,533
-506,743,377
824,826,-596
-393,817,343
-418,802,-717
747,533,458
436,-431,782

--- scanner 16 ---
-382,323,350
-476,300,407
-656,-563,666
669,-448,602
721,-545,-853
-413,-524,-727
-449,-463,-738
-536,330,354
667,-363,710
454,705,-518
90,-24,-73
788,503,815
-852,426,-616
-75,-113,19
-741,-503,817
-621,418,-566
